# x1, x2, y
2.193,8.734,6.000
1.611,0.644,1.000
9.677,-2.477,4.000
4.913,0.255,5.000
1.321,-0.096,1.000
1.178,1.442,1.000
5.951,1.022,5.000
-8.029,-8.584,7.000
0.926,0.749,1.000
-7.942,-8.035,7.000
1.195,3.706,0.000
1.699,0.591,1.000
0.661,7.431,6.000
2.179,0.616,1.000
-7.810,-7.799,7.000
1.042,8.524,6.000
-2.069,9.196,3.000
-8.596,-8.774,7.000
0.861,2.263,1.000
-1.538,7.312,3.000
9.550,-3.096,4.000
0.059,8.470,3.000
8.787,-2.436,4.000
5.486,1.929,5.000
-1.436,8.397,3.000
-2.138,8.514,3.000
1.837,5.145,0.000
-8.838,-8.425,7.000
5.196,1.360,5.000
8.801,-2.309,4.000
1.698,0.071,1.000
-2.276,3.656,2.000
-1.809,3.774,2.000
8.969,-1.037,4.000
-8.383,-8.326,7.000
2.102,1.109,1.000
9.703,-1.686,4.000
-1.241,9.086,3.000
5.031,0.271,5.000
1.085,4.569,0.000
-1.245,2.439,2.000
-8.039,-7.681,7.000
5.313,-0.001,5.000
-8.607,-9.075,7.000
6.623,-0.178,5.000
-1.745,2.957,2.000
-2.668,3.242,2.000
1.581,3.784,0.000
-1.017,3.008,2.000
-8.131,-9.389,7.000
-0.999,8.330,3.000
-1.201,1.843,2.000
1.799,7.390,6.000
1.008,4.173,0.000
2.565,3.286,0.000
2.005,8.735,6.000
6.499,0.639,5.000
1.486,-0.311,1.000
-1.102,8.519,3.000
-9.484,-8.070,7.000
-1.851,9.173,3.000
2.022,4.160,0.000
8.734,-1.954,4.000
1.961,8.056,6.000
0.705,4.092,0.000
0.843,9.592,6.000
4.977,1.169,5.000
1.428,1.168,1.000
-0.485,4.245,2.000
8.828,-1.858,4.000
-8.213,-8.377,7.000
5.766,0.113,5.000
0.637,8.989,6.000
-2.136,2.513,2.000
8.229,-2.024,4.000
0.070,6.892,3.000
0.733,4.413,0.000
0.098,8.872,3.000
5.787,1.777,5.000
-7.065,-7.322,7.000
0.910,6.956,6.000
7.503,1.239,5.000
-1.159,8.117,3.000
-0.811,4.761,0.000
2.036,1.197,1.000
0.799,8.029,6.000
-0.702,2.792,2.000
1.113,7.549,6.000
1.287,4.537,0.000
9.482,-1.403,4.000
0.355,2.917,0.000
2.049,5.332,0.000
0.588,8.548,6.000
-0.585,7.727,3.000
9.537,-3.101,4.000
-2.343,3.548,2.000
-0.729,2.054,2.000
-2.162,2.954,2.000
1.585,0.646,1.000
9.744,-2.046,4.000
