# x1, x2, y
-0.181,3.954,2.000
-1.787,8.213,3.000
8.752,-2.910,4.000
-2.416,3.596,2.000
0.620,3.997,0.000
-2.348,4.278,2.000
-0.218,5.669,0.000
1.178,1.442,1.000
2.022,4.160,0.000
0.705,4.092,0.000
8.470,-2.638,4.000
2.102,1.109,1.000
7.349,1.513,5.000
-2.276,3.656,2.000
10.105,-2.109,4.000
6.472,0.800,5.000
0.242,3.310,0.000
6.604,1.037,5.000
-0.702,2.792,2.000
-1.039,8.764,3.000
-2.292,8.143,3.000
-0.209,1.974,2.000
9.918,-2.108,4.000
0.733,4.413,0.000
-1.277,3.412,2.000
6.283,-0.554,5.000
1.428,1.168,1.000
6.201,0.458,5.000
4.930,0.765,5.000
5.807,-0.240,5.000
-1.887,8.617,3.000
-0.845,7.690,3.000
5.576,0.410,5.000
2.036,1.197,1.000
-2.130,4.255,2.000
-1.734,7.731,3.000
9.225,-1.132,4.000
2.049,5.332,0.000
2.853,0.033,1.000
5.317,1.658,5.000
8.925,-0.980,4.000
-0.585,7.727,3.000
9.938,-2.270,4.000
1.446,0.492,1.000
2.179,0.616,1.000
-0.811,4.761,0.000
1.420,0.934,1.000
6.375,1.154,5.000
-1.381,3.602,2.000
-2.343,3.548,2.000
9.204,-2.796,4.000
2.565,3.286,0.000
1.581,3.784,0.000
0.420,8.497,3.000
-1.693,8.309,3.000
1.585,0.646,1.000
-1.809,3.774,2.000
5.384,-0.978,5.000
-0.220,3.552,2.000
1.287,4.537,0.000
-0.778,8.121,3.000
8.415,-1.740,4.000
1.837,5.145,0.000
9.873,-2.787,4.000
10.062,-3.087,4.000
0.926,0.749,1.000
-1.201,1.843,2.000
-1.720,7.858,3.000
5.061,0.614,5.000
8.573,-3.413,4.000
2.337,0.418,1.000
-0.971,7.070,3.000
-1.438,3.199,2.000
0.355,2.917,0.000
-1.816,2.395,2.000
8.352,-2.654,4.000
5.587,-0.385,5.000
8.711,-2.814,4.000
-1.132,8.280,3.000
-1.520,4.168,2.000
1.195,3.706,0.000
6.030,0.509,5.000
8.549,-1.854,4.000
-0.485,4.245,2.000
8.954,-2.319,4.000
1.509,4.389,0.000
-0.985,7.066,3.000
1.085,4.569,0.000
1.008,4.173,0.000
6.272,-0.544,5.000
-1.436,8.397,3.000
-0.818,8.481,3.000
1.837,0.937,1.000
2.566,0.988,1.000
0.914,1.222,1.000
1.611,0.644,1.000
-1.553,9.130,3.000
5.817,0.061,5.000
1.698,0.071,1.000
1.486,-0.311,1.000
